loan_amount,interest_rate,loan_term,credit_score,default_status,approval_delay,disbursement_delay,loan_duration,loan_type_Education Loan,loan_type_Home Loan,loan_type_Personal Loan,employment_type_Part-time,employment_type_Self-employed,income_level_Low,income_level_Medium,marital_status_Married,marital_status_Single,education_level_High School,education_level_Master,education_level_PhD
16795,0.051851709,15,833,0,18,1,112,0,0,0,0,1,0,1,0,1,0,1,0
1860,0.089295672,56,776,0,1,12,83,0,0,1,0,0,0,1,1,0,0,0,0
77820,0.070469564,51,697,0,3,9,89,0,0,1,0,0,1,0,0,0,1,0,0
55886,0.062155,30,795,0,14,3,167,0,0,0,0,0,1,0,1,0,0,0,1
7265,0.070634819,48,519,0,5,4,109,0,1,0,1,0,1,0,1,0,1,0,0
83386,0.07723212,13,472,0,0,12,88,0,0,0,0,1,0,1,0,0,0,0,1
38194,0.07092883,26,689,0,17,13,75,0,0,0,1,0,0,0,1,0,0,0,1
88498,0.046916509,13,801,0,7,13,170,0,0,0,1,0,1,0,0,0,1,0,0
45131,0.093455993,22,559,0,12,1,122,0,1,0,0,1,1,0,0,0,0,1,0
61263,0.099123126,56,430,0,18,7,161,1,0,0,0,1,1,0,0,0,0,0,1
17023,0.08977283,34,412,0,15,4,165,0,0,1,0,0,0,0,0,0,0,0,0
42090,0.062934715,21,319,0,0,7,134,0,0,1,0,0,1,0,1,0,0,0,1
68221,0.076977627,14,514,0,1,8,75,1,0,0,0,1,1,0,1,0,0,0,1
65820,0.07990218,16,609,0,18,14,165,0,0,0,0,0,0,1,0,0,0,1,0
1769,0.088981916,14,550,0,13,12,55,0,0,0,0,0,0,1,0,0,0,0,1
60735,0.090025107,49,787,0,14,10,30,0,0,1,0,1,0,1,0,0,1,0,0
63955,0.068987393,24,681,1,1,8,141,0,0,0,1,0,0,0,0,0,0,1,0
65925,0.081229933,53,708,1,12,3,119,1,0,0,0,1,0,1,0,1,0,0,1
68969,0.086859206,30,570,1,19,9,68,0,0,1,0,1,1,0,1,0,1,0,0
6311,0.101837335,51,706,1,28,1,166,0,1,0,1,0,1,0,1,0,1,0,0
84104,0.090567598,46,493,0,19,13,56,0,0,0,0,0,0,0,0,0,0,0,1
54707,0.09183585,35,740,0,10,10,177,1,0,0,1,0,0,0,0,1,0,0,0
86305,0.081257399,35,612,0,9,1,45,0,0,1,1,0,1,0,0,1,0,0,0
29693,0.101156887,28,378,0,1,11,96,0,0,1,0,1,0,0,0,1,0,0,1
72932,0.086146442,51,479,0,28,4,51,0,1,0,0,0,1,0,0,0,0,0,1
94016,0.067083681,21,313,0,16,9,102,0,0,0,0,0,0,1,0,1,1,0,0
26658,0.10105055,13,545,0,2,3,149,0,1,0,1,0,1,0,0,0,0,0,1
85478,0.090468549,55,313,1,29,5,165,1,0,0,0,1,0,0,0,1,0,0,1
19431,0.07335434,34,398,0,3,8,164,0,0,1,1,0,0,1,0,0,1,0,0
3747,0.072807605,17,332,1,26,6,105,0,0,1,0,0,1,0,0,0,0,0,1
60150,0.084448633,13,735,0,21,11,30,0,1,0,0,0,0,0,1,0,0,0,1
66725,0.086947772,32,556,0,4,13,169,0,1,0,0,1,0,0,0,0,0,0,1
85654,0.082959384,46,333,0,29,10,43,0,1,0,0,1,0,1,0,1,1,0,0
36773,0.08466963,40,318,1,1,3,176,0,0,0,1,0,1,0,1,0,0,0,1
68435,0.105499361,18,559,0,3,6,48,0,0,1,0,1,1,0,0,1,0,0,0
57886,0.096073147,40,715,0,11,1,106,0,0,0,1,0,0,0,0,0,0,0,1
67803,0.082859534,48,436,1,5,4,137,1,0,0,0,1,0,1,1,0,0,0,0
32551,0.094119659,34,658,1,27,11,103,0,0,0,1,0,1,0,0,0,0,0,1
12394,0.064512141,44,415,0,19,10,140,0,1,0,0,0,0,1,0,0,1,0,0
70092,0.085968906,19,703,0,26,8,154,1,0,0,0,0,0,0,0,1,0,0,0
4890,0.107139595,23,501,0,26,10,122,1,0,0,0,0,1,0,0,1,0,0,1
42606,0.076729312,57,675,0,29,13,172,0,0,0,0,0,0,0,0,1,0,0,1
97276,0.067285491,59,549,0,14,8,92,0,0,0,0,0,1,0,1,0,0,0,1
81038,0.070218667,21,745,0,6,3,52,0,1,0,0,0,0,0,0,1,0,0,1
88313,0.063655504,26,577,0,28,7,39,0,1,0,0,1,1,0,0,0,1,0,0
11627,0.068228571,35,411,0,5,4,171,1,0,0,0,1,0,1,1,0,0,1,0
9792,0.074442379,37,772,0,21,2,125,0,1,0,0,1,1,0,0,1,0,0,0
74969,0.058916495,58,691,1,25,12,63,0,0,1,1,0,1,0,0,1,0,0,1
44001,0.080234275,53,442,1,29,5,124,0,0,1,0,1,0,0,0,1,1,0,0
77552,0.093534158,50,331,0,13,3,68,1,0,0,0,1,1,0,0,0,0,1,0
24897,0.066383657,14,480,0,17,12,109,0,0,0,1,0,1,0,0,1,1,0,0
69148,0.102789259,13,815,1,26,12,179,0,0,0,1,0,1,0,0,0,0,0,1
24483,0.087661881,17,568,0,28,2,129,0,0,1,0,0,0,0,1,0,0,1,0
49555,0.095458709,32,535,0,6,3,52,0,0,0,0,1,1,0,0,1,0,0,0
18159,0.070132482,20,576,0,24,12,54,0,1,0,0,1,0,1,0,0,0,0,0
81077,0.092817878,21,574,0,5,0,163,0,0,1,1,0,0,1,0,1,1,0,0
36920,0.063620991,47,385,1,23,9,119,1,0,0,0,0,0,0,0,1,0,0,0
93067,0.093353713,14,362,1,5,7,35,0,0,0,0,1,1,0,1,0,0,0,0
68121,0.08257759,52,703,0,5,8,48,1,0,0,1,0,0,0,1,0,0,1,0
70479,0.088298768,35,491,1,19,5,48,1,0,0,1,0,1,0,0,0,0,0,0
90475,0.062366081,33,592,0,21,4,139,0,0,0,0,1,0,0,0,0,0,1,0
20457,0.066573952,25,330,0,9,11,140,0,0,0,1,0,1,0,0,0,0,1,0
67557,0.088958423,53,629,0,3,8,124,0,0,1,1,0,1,0,1,0,0,1,0
78189,0.06577478,56,406,0,9,3,116,0,0,1,0,1,0,0,0,0,0,0,0
79953,0.086948094,55,575,0,21,13,169,1,0,0,0,0,0,0,1,0,1,0,0
53995,0.059492933,38,381,0,0,0,42,1,0,0,0,1,0,0,1,0,1,0,0
41757,0.092722613,44,363,0,22,11,115,0,0,1,0,0,1,0,0,1,0,0,0
10692,0.06151215,33,428,0,13,12,105,1,0,0,1,0,0,0,0,1,0,1,0
46758,0.088284499,40,555,0,17,10,106,0,1,0,0,1,1,0,0,0,0,0,0
73409,0.089384464,30,530,0,21,6,52,0,0,0,0,1,0,1,1,0,0,0,1
72211,0.069548423,30,796,1,8,0,99,0,0,0,0,0,0,1,1,0,1,0,0
66697,0.088730399,17,436,1,9,13,154,0,1,0,1,0,1,0,1,0,0,1,0
38065,0.083906634,56,754,0,18,14,87,0,0,1,0,1,1,0,0,1,0,0,0
93093,0.071917372,30,654,0,3,11,167,0,0,1,0,1,0,0,1,0,0,1,0
33606,0.06487168,24,784,0,20,8,97,1,0,0,1,0,1,0,0,0,0,0,1
12534,0.050560615,37,445,0,23,3,99,1,0,0,0,0,1,0,0,0,0,1,0
95663,0.085244751,33,332,0,12,11,111,0,0,1,0,1,0,1,0,1,0,0,1
41397,0.056527958,32,559,0,9,2,37,1,0,0,1,0,0,0,0,0,1,0,0
92387,0.081430163,47,386,0,12,3,143,0,1,0,0,1,0,0,1,0,0,1,0
2016,0.076048277,13,564,0,21,0,57,0,0,0,0,1,1,0,1,0,0,0,0
90789,0.090187142,58,841,0,11,5,96,0,1,0,0,1,0,0,0,0,0,1,0
56591,0.075469318,55,691,0,23,6,143,0,0,0,0,0,0,1,0,1,0,1,0
90812,0.075058283,41,531,0,2,6,109,0,0,0,1,0,0,1,1,0,0,0,1
24247,0.090978061,38,746,0,18,4,174,1,0,0,0,1,0,1,1,0,0,0,1
25300,0.08502587,18,428,0,8,13,163,1,0,0,0,1,1,0,0,1,0,0,0
75065,0.084742339,31,570,0,12,9,43,0,0,0,0,1,1,0,1,0,1,0,0
83798,0.087039014,42,388,1,21,11,143,1,0,0,0,0,0,1,0,0,1,0,0
10268,0.056966418,34,765,0,7,9,136,0,1,0,0,1,0,1,0,0,0,0,1
87807,0.09135183,24,469,0,3,4,105,0,0,1,1,0,0,0,0,1,0,0,0
13185,0.089187032,28,427,0,20,5,112,1,0,0,0,0,0,0,0,1,0,1,0
64704,0.064749753,15,473,0,27,9,114,1,0,0,1,0,0,0,0,0,0,0,0
87779,0.076338793,25,325,0,8,11,58,1,0,0,0,1,0,0,0,1,0,0,0
40099,0.079410391,31,810,0,6,7,78,0,0,1,0,1,0,1,0,0,0,0,0
9571,0.077982548,24,787,0,29,8,31,0,1,0,0,0,0,0,0,1,1,0,0
39044,0.085007899,14,705,0,20,13,118,0,0,0,0,1,0,1,0,0,0,1,0
52214,0.101470502,37,325,1,22,5,99,0,1,0,1,0,0,1,1,0,0,0,0
62228,0.096226501,37,382,0,10,2,75,1,0,0,1,0,1,0,1,0,1,0,0
49984,0.060316712,29,663,0,24,5,92,0,0,1,1,0,0,0,0,0,1,0,0
41774,0.08933105,43,666,1,29,14,148,0,1,0,0,1,0,1,1,0,0,0,1
3568,0.099934,25,359,0,14,3,114,1,0,0,0,1,1,0,0,0,0,1,0
63592,0.085802128,58,591,0,12,3,178,1,0,0,0,0,1,0,0,1,0,0,0
68563,0.096364706,14,490,0,2,10,56,0,0,0,0,0,0,1,1,0,0,1,0
3695,0.110184057,12,760,0,2,10,52,0,0,1,1,0,0,1,1,0,0,0,1
49190,0.095355643,37,532,0,19,6,129,0,0,0,1,0,0,0,1,0,0,0,1
6258,0.083739629,35,773,0,10,5,68,0,1,0,0,0,0,0,0,0,0,0,0
88538,0.095676327,46,704,0,25,7,87,0,0,0,0,0,0,1,1,0,1,0,0
